audit_kind,item_id,canonical_id,canonical_type,canonical_name,alias,normalized_alias,observed_types,mention_count,mention_ids,is_valid,type_correct,evidence_support,direction_correct,notes
alias,ent_002804::quốc gia cổ đại,ent_002804,Concept,quốc gia cổ đại,quốc gia cổ đại,quốc gia cổ đại,"[""Concept""]",2,"[""lichsu_10_s69_001:e5"", ""lichsu_10_s70_001:e1""]",,,,,
alias,ent_000687::Chiến tranh lạnh,ent_000687,Concept,Chiến tranh lạnh,Chiến tranh lạnh,chiến tranh lạnh,"[""Concept""]",4,"[""lichsu_12_s106_bai10_sec3_001:e1"", ""lichsu_12_s115_bai11_sec6_002:e1"", ""lichsu_12_s97_bai9_sec4_001:e7"", ""lichsu_12_s98_bai9_sec5_001:e2""]",,,,,
alias,ent_000432::biến động lớn,ent_000432,Concept,biến động lớn,biến động lớn,biến động lớn,"[""Concept""]",2,"[""lichsu_10_s123_001:e6"", ""lichsu_10_s124_001:e2""]",,,,,
alias,ent_003240::tình hình thế giới,ent_003240,Concept,tình hình thế giới,tình hình thế giới,tình hình thế giới,"[""Concept""]",1,"[""lichsu_11_s93_bai18_sec2_001:e2""]",,,,,
alias,ent_001311::đồng tiền chung châu Âu,ent_001311,Concept,đồng tiền chung châu Âu,đồng tiền chung châu Âu,đồng tiền chung châu âu,"[""Concept""]",1,"[""lichsu_12_s85_bai7_sec18_001:e6""]",,,,,
alias,ent_001216::đấu tranh quân sự,ent_001216,Concept,đấu tranh quân sự,đấu tranh quân sự,đấu tranh quân sự,"[""Concept""]",1,"[""lichsu_12_s272_bai22_sec20_003:e2""]",,,,,
alias,ent_001052::Cương lĩnh xây dựng đất nước trong thời kì quá độ lên chủ nghĩa xã hội,ent_001052,Concept,Cương lĩnh xây dựng đất nước trong thời kì quá độ lên chủ nghĩa xã hội,Cương lĩnh xây dựng đất nước trong thời kì quá độ lên chủ nghĩa xã hội,cương lĩnh xây dựng đất nước trong thời kì quá độ lên chủ nghĩa xã hội,"[""Concept""]",1,"[""lichsu_12_s311_bai26_sec6_004:e2""]",,,,,
alias,ent_000791::Chính sách kinh tế mới,ent_000791,Concept,Chính sách kinh tế mới,Chính sách kinh tế mới,chính sách kinh tế mới,"[""Concept""]",4,"[""lichsu_11_s34_bai10_sec1_001:e2"", ""lichsu_11_s35_bai10_sec2_001:e3"", ""lichsu_11_s35_bai10_sec2_002:e2"", ""lichsu_11_s35_bai10_sec2_003:e1""]",,,,,
alias,ent_003231::tiên Đông Dương của Pháp,ent_003231,Concept,tiên Đông Dương của Pháp,tiên Đông Dương của Pháp,tiên đông dương của pháp,"[""Concept""]",2,"[""lichsu_12_s189_bai17_sec10_001:e8"", ""lichsu_12_s192_bai17_sec13_001:e4""]",,,,,
alias,"ent_000654::chiến lược quân sự mới ""tìm diệt""",ent_000654,Concept,"chiến lược quân sự mới ""tìm diệt""","chiến lược quân sự mới ""tìm diệt""",chiến lược quân sự mới tìm diệt,"[""Concept""]",1,"[""lichsu_12_s259_bai22_sec7_001:e9""]",,,,,
alias,ent_002919::tác động về mặt kinh tế của các thương nhân Ấn,ent_002919,Concept,tác động về mặt kinh tế của các thương nhân Ấn,tác động về mặt kinh tế của các thương nhân Ấn,tác động về mặt kinh tế của các thương nhân ấn,"[""Concept""]",1,"[""lichsu_10_s40_002:e9""]",,,,,
alias,ent_003239::tình hình chính trị thế giới,ent_003239,Concept,tình hình chính trị thế giới,tình hình chính trị thế giới,tình hình chính trị thế giới,"[""Concept""]",1,"[""lichsu_12_s100_bai9_sec7_002:e4""]",,,,,
alias,ent_002441::Nho học,ent_002441,Concept,Nho học,Nho học,nho học,"[""Concept""]",1,"[""lichsu_10_s140_bai24_sec6_001:e7""]",,,,,
alias,ent_000610::chế độ tư bản,ent_000610,Concept,chế độ tư bản,chế độ tư bản,chế độ tư bản,"[""Concept""]",1,"[""lichsu_10_s169_001:e3""]",,,,,
alias,ent_002645::phong trào công nhân và phong trào yêu nước,ent_002645,Concept,phong trào công nhân và phong trào yêu nước,phong trào công nhân và phong trào yêu nước,phong trào công nhân và phong trào yêu nước,"[""Concept""]",2,"[""lichsu_12_s136_bai13_sec7_004:e12"", ""lichsu_12_s143_bai14_sec5_001:e8""]",,,,,
alias,"ent_001817::kỉ nguyên độc lập, tự do",ent_001817,Concept,"kỉ nguyên độc lập, tự do","kỉ nguyên độc lập, tự do",kỉ nguyên độc lập tự do,"[""Concept""]",1,"[""lichsu_12_s177_bai16_sec19_001:e7""]",,,,,
