audit_kind,item_id,relation_type,source_id,source_type,source_name,target_id,target_type,target_name,description,evidence_text,confidence,chunk_id,book,chapter,section,pages,source_files,chunk_text_preview,is_valid,type_correct,evidence_support,direction_correct,notes
relation,lichsu_11_s97_bai18_sec6_001:8:e10-AFTER-e8,AFTER,e10,Time,1918-1923,e8,Event,Cách mạng tháng Mười Nga,Cao trào cách mạng ở các nước tư bản châu Âu bùng nổ sau Cách mạng tháng Mười Nga.,"Ở các nước tư bản châu Âu, một cao trào cách mang đã bùng nổ trong người những năm 1918 1923.",0.95,lichsu_11_s97_bai18_sec6_001,lichsu_11,Bài 18,THI NHỮNG NỘI DUNG CHÍNH CỦA LỊCH SỬ THẾ GIỚI HIỆN ĐAI,"[102, 103, 104]","[""data/corpus/lichsu_11/lichsu_11.pdf_102.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_103.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_104.jpg.txt""]","mạng dân chủ Tổng bãi công chính trị ở Lật đổ chế độ tu san Pê tơ rô grát Nga hoàng Khởi nghĩa vũ trang Hai chính quyền song Nga hoàng bị lật đổ song tồn tai Cách mang dân chủ tư sản kiểu mới 10 1917 THI NHỮNG NỘI DUNG CHÍNH CỦA LỊCH SỬ THẾ GIỚI HIỆN ĐAI (1917 1945) Trong gân 30 năm (1917 1945), nội dung lịch sử thế giới hiên đại nổi bật với những vấn đề chính sau đây 1 Trong thời kì này đã diễn ra những chuyển biến quan trọng trong sản xuất vật chiến chất của nhân loại Những tiến bô về khoa học",,,,,
relation,lichsu_10_s83_001:10:e11-AFTER-e10,AFTER,e11,Event,khởi nghĩa Lý Bí,e10,Event,khởi nghĩa Bà Triệu,Khởi nghĩa Lý Bí diễn ra sau khởi nghĩa Bà Triệu.,"khởi nghĩa Bà Triệu (năm 248), khởi nghĩa Lý Bí (năm 542)",0.95,lichsu_10_s83_001,lichsu_10,Bài,1. Khái quát phong trào đấu tranh từ thế kỉ 1 đến đầu thế kỉ x,"[81, 82, 83, 84, 85, 86]","[""data/corpus/lichsu_10/lichsu_10.pdf_81.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_82.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_83.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_84.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_85.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_86.jpg.txt""]","trực tiếp tới cấp huyên, tổ chức các đơn vị hành chính chính đến cấp hương, xã, nhưng không khống chế nổi các làng xóm người Việt Làng xóm trở thành nơi xuất phát các cuộc đấu tranh giành độc lập. B 1. Khái quát phong trào đấu tranh từ thế kỉ 1 đến đầu thế kỉ x Năm 40, cuộc khởi nghĩa chống ách đô hộ dầu tiên của nhân dân Âu Lạc the thu bùng nổ. Từ đó cho đến đầu thế kỉ X, nhiều cuộc khởi nghĩa đã liên tiếp nổ ra ở ba quận Giao Chỉ, Cửu Chân và Nhật Nam Từ sau cuộc khởi nghĩa Hai Bà Trưng năm 40",,,,,
relation,lichsu_12_s148_bai14_sec10_001:8:e12-AFTER-e1,AFTER,e12,Time,Cuối năm 1933,e1,Event,Cuộc đấu tranh phục hồi phong trào cách mạng,"Các tổ chức của Đảng dần được khôi phục và củng cố vào cuối năm 1933, sau khi phong trào đấu tranh được phục hồi.","Cuối năm 1933, các tổ chức của Đảng dân dần được khôi phục và củng cố.",0.9,lichsu_12_s148_bai14_sec10_001,lichsu_12,Bài 14,1. Cuộc đấu tranh phục hồi phong trào cách mạng,"[95, 96, 97]","[""data/corpus/lichsu_12/lichsu_12.pdf_95.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_96.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_97.jpg.txt""]","công nông và mặt trận dân tốc 19 thống nhất, về tổ chức, lãnh đạo quần chúng đầu tranh. Póoý nghĩa nhu Các chố cuốc lập dươt đầu tiên của Đảng và quân chúng cho Tổng khới nghĩa tháng Tâm sau này L 1. Cuộc đấu tranh phục hồi phong trào cách mạng Cuộc khủng bố của thực dân Pháp đã làm cho lực lương cách mạng bị tổn thất nặng nề Hàng vàn người bị bắt, bị tù đày, Các nhà tò (Hà Nội), Khám Lớn (Sai Gòn), Côn Đảo, Kon Tum, Lao Bào, Sơn La v.v. chính tn, hâu hết Chinh Các uỷ viên Ban Chấp hành Trung ươ",,,,,
relation,lichsu_12_s114_bai11_sec5_003:4:e8-AFTER-e1,AFTER,e8,Event,cách mạng kĩ thuật,e1,Event,Chiến tranh thế giới thứ hai,Cách mạng kĩ thuật diễn ra sau Chiến tranh thế giới thứ hai,"Từ sau Chiến tranh thế giới thứ hai, một cuộc cách mang kĩ thuật",0.95,lichsu_12_s114_bai11_sec5_003,lichsu_12,Bài 11,"1. Sau Chiến tranh thế giới thứ hai, một trật tư thế giới mói đã được xác lập. Đó","[71, 72, 73]","[""data/corpus/lichsu_12/lichsu_12.pdf_71.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_72.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_73.jpg.txt""]","đây, chưa bao giờ các quan hê quốc tế được mở rông và đa dạng như trong nửa sau thế kỉ XX Những nét nổi bật của quan hê quốc lê từ sau Chiến tranh thế giới thứ hai là Tình trang đối đầu gay gắt giữa hai siêu cường, hai phe mà đình cao là tình trang chiến tranh lạnh kéo dài tới hơn thập niên Thuy nhiên, phân lớn các quốc gia tiên thế giới vân cùng tôn tại hoà bình, vừa đầu tranh vừa hợp tác, Cả hai siêu cường cũng như các nước khác đều có ý thức về chiến những hiểm hoa khùng khiếp không lường hết",,,,,
relation,lichsu_12_s318_bai27_sec5_001:4:e6-AFTER-e7,AFTER,e6,Event,kháng chiến chống Pháp,e7,Time,cuối năm 1946,Kháng chiến chống Pháp diễn ra sau khi Pháp mở rộng xâm lược cuối năm 1946,"từ cuối năm 1946, chống thực dân Pháp mớ rộng xâm lược ca nước. - Cuộc kháng chiến chống Pháp (1945 ? 1954)",0.8,lichsu_12_s318_bai27_sec5_001,lichsu_12,Bài 27,3. Thời kì 1945 1954,"[217, 218, 219]","[""data/corpus/lichsu_12/lichsu_12.pdf_217.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_218.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_219.jpg.txt""]","năm 1930. Khởi nghĩa được tiến hành theo hình thái phù hợp, từ khởi nghĩa từng phần phát triển lên tổng khỏi nghĩa, Cuộc Tổng khởi nghĩa tháng loi đã giành được độc lập, chính quyền về tay nhân dân 3. Thời kì 1945 1954 Then (Từ sau thăng lơi Cách mạng tháng Tám năm 1945 đến ngày 21 - 7 - 1954) - Sau khi nước Viết Nam Dân chủ Cộng hoà được thành lập, trong tình hình dất nước gắp muôn vàn khó khân thử thách, nhân dân ta vừa xây dưng chính quyền cách mang, giải quyết nan đói, nan dốt và khó khăn về",,,,,
relation,lichsu_10_s158_001:7:e17-AFTER-e15,AFTER,e17,Event,đổi quốc hiệu thành Đại Việt,e15,Event,xác định quốc hiệu Đại Cồ Việt,Sự kiện đổi quốc hiệu thành Đại Việt diễn ra sau khi quốc hiệu Đại Cồ Việt được xác định.,"Năm 968, quốc hiệu Đại Cồ Việt được xác định, Tiến thêm một bước, năm 1054, quốc hiệu được đổi thành Đại Việt",0.95,lichsu_10_s158_001,lichsu_10,Bài,1. Thời kĩ dựng nước đầu tiên,"[133, 134, 135]","[""data/corpus/lichsu_10/lichsu_10.pdf_133.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_134.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_135.jpg.txt""]","đã trải qua một quá trình và lao động và chiến đấu đầy hi sinh, gian khổ nhưng hết sức kiên cường, anh dũng, sáng tạo để xây dựng đất nước và bảo vệ vững chắc nền độc lập và thống nhất của Tổ quốc. 1. Thời kĩ dựng nước đầu tiên Vào khoảng thế kỉ VII TCN, sau hàng chục vạn năm sinh sống và mở rộng vùng cư trú, các tộc người Việt cổ trên đất Bắc Việt Nam đã hợp nhất lại, dựng nên quốc gia đầu tiên : Văn Lang và sau đó là Âu Lạc. Một nền văn minh lúa nhước hình thành với nhiều thành tựu văn hắc đượ",,,,,
relation,lichsu_12_s243_bai21_sec9_001:8:e5-AFTER-e2,AFTER,e5,Time,1960,e2,Time,1957,Năm 1960 sau năm 1957,"So với năm 1957, năm 1960",0.9,lichsu_12_s243_bai21_sec9_001,lichsu_12,Bài 21,"2. Cải tạo quan hệ sản xuất, bước đầu pián tế - xã hội","[158, 159, 160, 161, 162]","[""data/corpus/lichsu_12/lichsu_12.pdf_158.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_159.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_160.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_161.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_162.jpg.txt""]","cổ chính quyền dân chủ nhân dân, tăng cường khá năng phòng thủ đất nước, mở rộng mặt trận dân tộc thống nhất và quan hê ngoại giao với nhiều nước trên đường sắt Hà Nội - Mục Nam Quan (1957) thế giới. 2. Cải tạo quan hệ sản xuất, bước đầu pián tế - xã hội (1958 - 1960) Trong ba năm (1958 ? 1960), miền Bắc lấy cải tạo xã hội chủ nghĩa làm trọng tâm : cải tao đối với nông nghiệp, thủ công nghiệp, thương nghiệp nhỏ, công thương nghiệp tư bản tư doanh, khâu chính là hợp tác hoá nông nghiệp. Thực hiên",,,,,
relation,lichsu_10_s187_002:8:e10-BEFORE-e12,BEFORE,e10,Time,năm 1814,e12,Time,năm 1825,năm 1814 trước năm 1825,"Năm 1814, Xt-phen-xơn chế tạo thành công chiếc đầu máy xe lửa đầu tiên Năm 1825, nước Anh khánh thành đoan đường sắt đầu tên",0.95,lichsu_10_s187_002,lichsu_10,Bài,1. Cách mạng công nghiệp ở Anh,"[159, 160, 161]","[""data/corpus/lichsu_10/lichsu_10.pdf_159.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_160.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_161.jpg.txt""]","c sử dụng máy hơi nước đã trở thành phổ biến, do vậy tốc độ sản xuất người và năng suất lao động tăng lên rõ iệt. Máy hơi nước đã tạo ra nguồn động lực mới, làm giảm sức lao động cơ bắp của con người. Lao động bằng tay dần được thay thế bằng máy móc, khởi đầu quá trình công nghiệp hoá ở nước Anh. Nhu cầu dùng máy tăng lên đã thức đẩy ngành chế tạo máy ra đời và thi phát triển, đồng thời đòi hỏi số lương và chất lương kim loại nhiều và cao hơn phát minh về phương pháp nấu than cốc năm 1735 là một",,,,,
relation,lichsu_12_s318_bai27_sec5_002:3:e3-BEFORE-e4,BEFORE,e3,Event,Chiến tranh cục bộ,e4,Event,Việt Nam hoá chiến tranh,Chiến tranh cục bộ diễn ra trước Việt Nam hoá chiến tranh,"1965 - 1968, đánh bai chiến lược ""Chiến tranh cục bô"" , 1969 ? 1973, đánh bại về cơ bản chiến lược ""Việt Nam hoá chiến tranh""",0.9,lichsu_12_s318_bai27_sec5_002,lichsu_12,Bài 27,3. Thời kì 1945 1954,"[217, 218, 219]","[""data/corpus/lichsu_12/lichsu_12.pdf_217.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_218.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_219.jpg.txt""]","c thực dân mới 1960 1954 - 1954 - 1960, đánh bai chiến tranh đơn phương"" , 1961 - 1965 chiến đánh bại chiến lược ?Chiến tranh đặc biệt"" , 1965 - 1968, đánh bai chiến lược ""Chiến tranh cục bô"""", 1969 ? 1973, đánh bại về cơ bản chiến lược ""Việt Nam hoá chiến tranh"", buốc Mĩ phái rút quân khói miền Nam , 1973 - 1975, đánh bại hoàn thành toàn chiến lược ""Viết Nam hoa chiến tranh"", giải phóng hoàn toàn miền Nam, thống nhất dất nước. - Ở miên Bắc, thực hiện những nhiêm vụ của cách mạng trong thời kì q",,,,,
relation,lichsu_12_s263_bai22_sec11_001:4:e4-BEFORE-e5,BEFORE,e4,Time,5/8/1964,e5,Time,1/11/1968,Giai đoạn từ 5/8/1964 đến 1/11/1968.,Trong hơn 4 năm (từ ngày 5 8 1964 đến ngày 1 11 1968),0.9,lichsu_12_s263_bai22_sec11_001,lichsu_12,Bài 22,"2. Miền Bắc vừa chiến đấu chống chiến tranh phá hoại, vừa sản xuất","[178, 179, 180]","[""data/corpus/lichsu_12/lichsu_12.pdf_178.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_179.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_180.jpg.txt""]","phá công cuốc xây dưng chủ nghĩa xã hôi ở miền Bác, ngàôn chi viên từ bên ngoài vào miên Bắc và từ miền Bắc vào miền Nam , uy hiếp tình thần, làm lung lay ý chí chống Mĩ của nhân dân ta ở hai mước. 2. Miền Bắc vừa chiến đấu chống chiến tranh phá hoại, vừa sản xuất và làm nghĩa vụ hậu phương Ngay từ ngày đầu Mĩ mở rông chiến tranh, miên Bắc đã kịp thời chuyển mọi hoạt động sang thời chiến, thưc hiên quân sự hoá toàn dân, dào đấp công sư chiến đấu, hầm hào phòng tránh, triệt để sơ tán, phân tán nh",,,,,
relation,lichsu_10_s119_001:1:e1-BEFORE-e2,BEFORE,e1,Event,chiến tranh Nam - Bắc triều,e2,Event,chiến tranh Trịnh - Nguyễn,chiến tranh Nam - Bắc triều xảy ra trước chiến tranh Trịnh - Nguyễn,xảy ra cuộc chiến tranh Nam ? Bắc triều và tiếp đó là chiến tranh Trịnh - Nguyễn,0.9,lichsu_10_s119_001,lichsu_10,Bài,1. Sự sụp đổ của triều Lê sơ. Nhà Mạc được thành lập,"[106, 107]","[""data/corpus/lichsu_10/lichsu_10.pdf_106.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_107.jpg.txt""]","chưa được bao lâu thì xảy ra cuộc chiến tranh Nam ? Bắc triều và tiếp đó là chiến tranh Trịnh - Nguyễn. Hai chính quyền ở Đàng Ngoài và Đàng Trong được hình thành, tại nhang cho đến cuối thế kỉ xviil 1. Sự sụp đổ của triều Lê sơ. Nhà Mạc được thành lập Đầu thế kỉ XVI, triều Lê sơ suy sụp. Sau khi vua Lê Hiến Tông chết, các vua Uy Mục, Tương Dực không còn quan tâm đến việc triều chính, chỉ lo ăn chơi, sa đoạ, Quan lại, địa chủ nhân đó hoành hành, hạch sách nhân dân, chiếm đoạt ruộng đất: Nhân dân",,,,,
relation,lichsu_12_s285_bai23_sec12_002:6:e5-BEFORE-e6,BEFORE,e5,Event,Chiến dịch Tây Nguyên,e6,Event,Chiến dịch Huế - Đà Nẵng,Chiến dịch Tây Nguyên đang tiếp diễn khi Bộ Chính trị quyết định kế hoạch giải phóng Huế - Đà Nẵng,"ngay khi chiến dịch Thi Thy Nguyên đang tiếp diên, Bộ Chính tn có quyết định kịp thời kế hoach giái phóng Sài Gòn và toàn miền Nam, trước tiên là tiến hành chiến dịch giải phóng Huế - Đà Năng",0.95,lichsu_12_s285_bai23_sec12_002,lichsu_12,Bài 23,2. Cuộc Tổng tiến công và nối dậy Xuân 1975,"[192, 193, 194, 195, 196]","[""data/corpus/lichsu_12/lichsu_12.pdf_192.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_193.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_194.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_195.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_196.jpg.txt""]","h mất tinh thần, hàng nối loan Ngày 14 - 3 - 1975, Nguyên Văn Thiêu ra lênh rút toàn bộ quân khỏi Tây Nguyên về giữ vùng duyên hải miền Trung Trên đường rút chay, chúng bị quân ta truy kích tiêu diệt. Đến ngày 24 - 3 - 1975, Tây Nguyên rông lớn với 60 van dân hoàn toàn được giải phóng Chiến dịch Tây Nguyên thắng loi đã chuyển cuộc kháng chiến chông Mĩ, cứu nước sang giai đoạn mới - từ tiến công chiến lược ở Tây Nguyên phát triển thành tổng tiến công chiến lược trên toàn chiến trường miền Nam Thu",,,,,
