audit_kind,item_id,entity_type,name,description,evidence_text,confidence,years,chunk_id,book,chapter,section,pages,source_files,chunk_text_preview,is_valid,type_correct,evidence_support,direction_correct,notes
entity,lichsu_10_s113_001:e12,Concept,chữ Nôm,Chữ Nôm được sáng tạo từ thế kỉ XI - XII và phát triển ở thế kỉ XV.,chữ Nôm (được sáng tạo từ thế kỉ XI ? XII),0.85,[],lichsu_10_s113_001,lichsu_10,Bài,2. Văn học,"[102, 103]","[""data/corpus/lichsu_10/lichsu_10.pdf_102.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_103.jpg.txt""]","được đào tạo đã góp phần quan trọng vào việc xây theng dong vự bảo về đất nước, Tuy nhiên, giáo dục Nho học không tạo điều kiện cho sự phát triển kinh tế. B Việc dựng bia Tiến sĩ có tác dụng gì ? 2. Văn học Sự phát triển giáo dục góp phần păn văn học. Ban đầu, văn học mang nặng tư tưởng Phật giáo Từ thời Trần, văn học dân tho tộc ngày càng phát triển, Hàng loạt bài thơ, bài hịch, bài phú nổi tiếng như Nam quốc sơn hà, Hịch tướng sĩ, Bạch Đằng giang phú, v.v.. cùng hàng loạt tập thơ chữ Hán đã ra",,,,,
entity,lichsu_10_s20_bai4_sec4_002:e11,Concept,lưu thông tiền tệ,Hoạt động thương mại phát đạt đã thúc đẩy việc mở rộng lưu thông tiền tệ,mở rộng lưu thông tiền tệ,0.9,[],lichsu_10_s20_bai4_sec4_002,lichsu_10,Bài 4,1. Thiên nhiên và đời sống của con người,"[20, 21, 22]","[""data/corpus/lichsu_10/lichsu_10.pdf_20.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_21.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_22.jpg.txt""]",", Các quan hệ thương mại được mở rộng. Người Hi Lạp và Rô-ma đem các sản phẩm chi chi của mình như rượu nho, dầu ô liu, đồ mi nghề, đồ dùng kim loại, đồ gồm. nhưng đi bán ở mọi miên ven Địa Trung Hải. Sản phẩm mua về là lúa mì, súc vật, 19 thu lông thú từ vùng Hắc Hải, Ai Cập.., tơ lụa, hương liệu, xa xỉ phẩm từ các nước 19 tho nhi phương Đông, Trong xã hội chiếm nô ở vùng này, nô lệ là thứ hàng hoá quang trọng bậc nhất, Nhiều nơi như Đê-lốt, Pi- êê.. trở thành trung tâm buôn bán nô lệ lớn của t",,,,,
entity,lichsu_11_s55_bai13_sec1_001:e2,Concept,chiến tranh xâm lược,kế hoạch gây chiến tranh xâm lược,kế hoạch gây chiến tranh xâm lược,0.95,[],lichsu_11_s55_bai13_sec1_001,lichsu_11,Bài 13,Bài 13,"[66, 67, 68, 69]","[""data/corpus/lichsu_11/lichsu_11.pdf_66.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_67.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_68.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_69.jpg.txt""]","Đức đã trở thành một trại lính khổng lô, chuẩn bị tiến hành các kế hoạch gây chiến tranh xâm lược. Qua bảng thống kê nêu trên, hãy nhận xét về tình hình kinh tế nước Đức so với một số nước châu Âu Bài 13 (1918 1939) Trong những năm 1918 1939, nước Mĩ đã trải qua những bước thăng trầm dây kịch tính: từ sự phôn vinh của nên kinh tế trong thập niên 20 đến cuộc khủng hoảng và suy thoái nặng nề chưa từng thấy trong lịch sử nước Mĩ những năm 1929 - 1933. Chính sách mới của Tổng thống Ru-dơ-ven đã đưa ",,,,,
entity,lichsu_11_s25_bai7_sec2_001:e9,Concept,chủ nghĩa thực dân,Sự xâm lược thuộc địa của chủ nghĩa tư bản và phong trào đấu tranh của các dân tộc chống chủ nghĩa thực dân,chủ nghĩa thực dân,0.9,[],lichsu_11_s25_bai7_sec2_001,lichsu_11,Bài 7,LỊCH SƯ THẾ GIỚI CẦN ĐAI,"[37, 38, 39, 44, 45]","[""data/corpus/lichsu_11/lichsu_11.pdf_37.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_38.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_39.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_44.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_45.jpg.txt""]","hiên thực phê phán, qua các lác phẩm của mình, Tôn-xiôi đã chống lai trất tư xã hội phong kiến Nga hoàng, ca ngợi phẩm chất của người dân Nga trong công cuộc xây dưng và bảo về Tổ quốc. Lê-nin da LỊCH SƯ THẾ GIỚI CẦN ĐAI Phần lịch sử thế giới cận đại, từ Cách mạng Hà Lan đến Cách mạng tháng Mười Nga gồm một số vấn đề cơ bản sau đây Sự thắng lợi của cách mạng tư sản , sự xác lập và phát triển của chủ nghĩa tư bản Sự ra đời và phát triển của phong trào công nhân quốc tế. Sự xâm lược thuộc địa của ",,,,,
entity,lichsu_10_s221_bai39_sec2_002:e11,Concept,học thuyết Mác,"Học thuyết được truyền bá ở nhiều nước tư bản tiên tiến, dẫn đến việc thành lập các đảng công nhân.",truyền bá học thuyết Mác,0.8,[],lichsu_10_s221_bai39_sec2_002,lichsu_10,Bài 39,QUỐC TẾ THỨ HAI,"[194, 195, 197, 198]","[""data/corpus/lichsu_10/lichsu_10.pdf_194.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_195.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_197.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_198.jpg.txt""]","sự lớn manh của công nhân Pháp (1) Theo đạo luật này, các tổ chức công nhân bị giải tán, các toà báo công nhân bị đóng cửa, hàng loạt đảng viên Đảng Công nhân xã hội dân chủ Đức bị bắt bó và tra tấn. Ở Anh, những cuộc bãi công của công nhân đòi tăng lương, thưc hiện ngày làm 8 giờ và đòi cải thiện đời sống liên tục diễn ra, điển hình là nguyen cuộc bãi công của hàng van công nhân khuân vác ở bến tàu Luân Đôn vào cuối thập niên 80 Nét nổi bật của phong trào công nhân Mĩ hồi cuối thế kỉ XIX gắn li",,,,,
entity,lichsu_10_s158_003:e2,Concept,ruộng đất tập trung vào tay giai cấp địa chủ,Tình trạng ruộng đất ngày càng tập trung vào tay giai cấp địa chủ.,ruộng đất ngày càng tập trung vào tay giai cấp điện địa chủ,0.9,[],lichsu_10_s158_003,lichsu_10,Bài,1. Thời kĩ dựng nước đầu tiên,"[133, 134, 135]","[""data/corpus/lichsu_10/lichsu_10.pdf_133.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_134.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_135.jpg.txt""]","gian phát triên mạnh. Tuy nhiên, từ thế kỉ XVIII, ruộng đất ngày càng tập trung vào tay giai cấp điện địa chủ, trong lúc các chính quyền ở cả hai miền lại thiếu quan tâm đến đời sống chi của nông dân. Cuộc khủng hoảng xã hội diễn ra vào giữa thế kỉ XVIII với những phong trào nông dân rông lớn ở Đàng Ngoài và phong trào Tây Sơn ở Đàng Trong Thi nhà nhà nước phong kiến ở cả hai miền đều sụp đổ trước sự tấn công của phong trào Tây Sơn, đất nước bước đầu thống nhất lại nhưng các vương triều Tây Sơn,",,,,,
entity,lichsu_10_s109_001:e1,Concept,Xã tắc,Xã tắc từ đây vững bền,Xã tắc từ đây vững bền,0.95,[],lichsu_10_s109_001,lichsu_10,Bài,TRONG CÁC THẾ KÍ XV,"[99, 101]","[""data/corpus/lichsu_10/lichsu_10.pdf_101.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_99.jpg.txt""]","[..] Xã tắc từ đây vững bền; Giang sơn từ đây đổi mới [...] Một cỗ nhung y chiến thắng, nên công oanh liệt ngàn năm ; Bốn phương biển cả thanh bình, ban chiếu duy tân khắp chốn. (Bình Ngô đại cáo) B TRONG CÁC THẾ KÍ XV Trong các thế kỉ X - XV, cùng với sự nghiệp chính trị 19 quân sự và phát triển kinh tế, nhân dân Việt Nam đã từng bước xây dựng cho mình một nền văn hoá mang đậm bản sắc dân tộc. Những thành tựu văn hoá đạt được, vừa là sản phẩm của sự nghiệp chung nói trên, vừa đặt nền móng vững ",,,,,
entity,lichsu_12_s320_bai27_sec7_001:e2,Concept,chủ nghĩa xã hội,Mục tiêu mà công cuộc đổi mới hướng tới.,đưa đất nước quá độ lên chủ nghĩa xã hội,0.8,[],lichsu_12_s320_bai27_sec7_001,lichsu_12,Bài 27,"NGUYỄN NHÂN THĂNG LỢI, BAI HỌC KINH NGHIỆM","[219, 220]","[""data/corpus/lichsu_12/lichsu_12.pdf_219.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_220.jpg.txt""]","- Công cuộc đổi mới đã và đang giành được thắng lơi, Tháng lợi đó đã từng bước đưa đất nước quá độ lên chủ nghĩa xã hội, khắng đốn đối mới của Đảng là đúng, bước đi của công cuốc đổi mới la phù hợp NGUYỄN NHÂN THĂNG LỢI, BAI HỌC KINH NGHIỆM Lịch sử đấu tranh và xây dưng đất nước của nhân dân ta từ sau Chiến tranh thế người giới thứ nhất đến nay trải qua nhiều thời kì, nhiều bước thăng trầm. Từ khi Nguyễn Ái Quốc đến với chủ nghĩa Mác - Lênin năm 1920 và Đảng Cộng sản Việt Nam ra đời năm 1930, cu",,,,,
entity,lichsu_10_s76_bai15_sec5_001:e11,Concept,nghề thủ công mới,"Một số nghề thủ công mới xuất hiện như làm giấy, làm thủy tinh","Một số nghề thủ công mới xuất hiện như làm giấy, làm thuỷ tinh",0.8,[],lichsu_10_s76_bai15_sec5_001,lichsu_10,Bài 15,"2. Những chuyển biển về kinh tế, và xã hội","[80, 81, 82]","[""data/corpus/lichsu_10/lichsu_10.pdf_80.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_81.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_82.jpg.txt""]","luật pháp hà khắc, thắng tay đần áp các cuộc nổi dậy đấu tranh của nhân dân ta. B Chính quyền đô hộ truyền bá Nho giáo vào nước ta, bắt dân ta thay đối phong tục theo người Hán nhằm mục đích gi?? 2. Những chuyển biển về kinh tế, và xã hội a) Về kinh tế Công cụ bằng sắt ngày càng được sử dụng phổ biến trong sản xuất nông người nghiệp cũng như trong đời sống nhân dân. Công cuộc khai hoang, mở rộng thêm diện tích trồng trọt được đẩy mạnh, Các công trình thuỷ lợi được xây dựng. Nhờ thế, năng suất lú",,,,,
entity,lichsu_12_s154_bai15_sec4_002:e1,Concept,mức lương chưa bằng thời kì trước khủng hoảng,Mức lương của những người có việc làm không bằng thời kì trước khủng hoảng.,mức lương chưa bìng thời kì trước khúng hoàng,0.9,[],lichsu_12_s154_bai15_sec4_002,lichsu_12,Bài 15,2. Tinh hình trong nước,"[98, 99]","[""data/corpus/lichsu_12/lichsu_12.pdf_98.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_99.jpg.txt""]","hững người có việc làm được nhận mức lương chưa bìng thời kì trước khúng hoàng Nguyên Nông dân không dù ruông cảy, Ho còn chíu mức địa tô cao và nhiều thủ doan bóc lột khác của địa chủ, cường hào v... Tư sản dân tộc có ít vốn nên chỉ lập được những công ti nhỏ, phải chịu thuế cao, bị tư bản Pháp chèn ép. Nhiều người trong giới tiểu tư sản trí thức thất nghiệp. Công chức nhân được mức lương thấp, Các tâng lớp lao đông khác phải chịu thuế khoa nang nề, gia cả sinh hoạt đát đó. Điều Đòi sống của đa",,,,,
